County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Scotland,2.463697177,45.97813673,31.62016642,19.93799967,6129,2.43902439,45.94594595,31.26235992,20.35266974,6068,2.662229617,45.94009983,30.81530782,20.58236273,6010,2.861522739,45.78436382,30.148186,21.20592744,5871,3.51732544,45.72523072,29.53160369,21.22584015,5743
Stanly,6.85759927,12.83660429,73.43678686,6.869009585,8764,6.976206976,12.53176253,72.6033726,7.888657889,8658,7.599169742,13.22647601,71.74815498,7.426199262,8672,8.34304358,12.81752505,70.77604288,8.063388488,8582,8.803284627,13.76645333,68.92887332,8.501388722,8281
Stokes,4.59274673,3.582045184,87.35136742,4.473840666,6728,4.391891892,3.178746929,88.48280098,3.946560197,6512,4.607508532,3.133726342,88.48898542,3.769779708,6446,4.624838292,2.991591203,88.74514877,3.638421734,6184,4.628378378,2.753378378,88.58108108,4.037162163,5920
Surry,20.1861131,2.421856359,74.83894059,2.553089955,8382,20.64121037,2.209414025,74.48366955,2.665706052,8328,21.48630715,2.280130293,73.51912173,2.714440825,8289,22.44674376,2.373706634,72.53804017,2.641509434,8215,24.15587713,2.41177964,70.30972328,3.12261995,7878
Swain,4.354508197,1.024590164,66.8545082,27.76639344,1952,3.869047619,1.438492063,65.8234127,28.86904762,2016,4.81444333,1.404212638,65.24573721,28.53560682,1994,4.904491482,0.774393392,65.92669076,28.39442437,1937,5.18819939,0.762970498,65.31027467,28.73855544,1966
Transylvania,5.771924909,4.959372373,83.21658728,6.052115438,3569,6.022727273,4.971590909,82.8125,6.193181818,3520,6.248232966,5.004240882,82.69720102,6.050325134,3537,6.720507643,4.989904817,81.8575137,6.432073839,3467,7.694566814,4.552129222,80.85168869,6.901615271,3405
Tyrrell,16.28318584,33.80530973,40.53097345,9.380530973,565,15.2293578,33.21100917,42.75229358,8.80733945,545,15.79861111,33.68055556,39.93055556,10.59027778,576,17.50433276,34.31542461,37.08838821,11.09185442,577,18.19699499,32.38731219,37.56260434,11.85308848,599
Union,14.66448607,13.13807117,67.64545545,4.551987313,40356,15.00389143,12.7955054,67.14660959,5.053993579,41116,15.69153435,12.9510138,65.91266101,5.444790836,41379,16.50378987,12.81641798,64.55641894,6.123373218,41954,17.75443013,12.49636874,62.19376392,7.555437208,41308
Vance,12.91837933,61.42102173,22.28420435,3.376394598,6812,13.04809589,61.85707783,21.72659687,3.368229404,6591,13.13644055,62.54422397,20.93524073,3.384094755,6501,13.70503037,62.04641022,20.29278929,3.955770129,6421,14.18667568,64.76158269,16.94284748,4.108894154,5914
Wake,15.41088552,24.43416189,49.1569347,10.99801789,149336,15.65339151,24.41043342,48.61311016,11.3230649,153545,16.35928653,24.21811522,48.06415002,11.35844822,155074,16.86243967,23.75194709,47.65646945,11.72914379,156644,17.69511852,22.96448983,46.37309098,12.96730067,160095
Warren,6.451612903,66.8202765,17.51152074,9.216589862,2387,7.175828787,66.9324381,17.1212757,8.770457407,2383,7.331628303,66.02728048,17.64705882,8.994032396,2346,7.414024118,65.96694953,17.73112997,8.887896382,2239,8.193484699,65.7946693,15.30108588,10.71076012,2026
